,代码,名称,最新价,涨跌幅,股东名称,持股变动信息-增减,持股变动信息-变动数量,持股变动信息-占总股本比例,持股变动信息-占流通股比例,变动后持股情况-持股总数,变动后持股情况-占总股本比例,变动后持股情况-持流通股数,变动后持股情况-占流通股比例,变动开始日,变动截止日,公告日
3845,300471,厚普股份,13.35,2.06,张志元,增持,0.3,0.000822549,0,,,,,2020/10/16,2020/10/16,2020/11/19
3846,600523,贵航股份,13.55,1.88,中国贵州航空工业(集团)有限责任公司,增持,3.07,0.007593159,0.01,3752.4155,9.28,3752.4155,9.29,2020/10/15,2020/10/15,2020/10/17
3847,600252,中恒集团,2.61,-0.76,广西投资集团有限公司,增持,3475.1137,1.000001886,1,95634.9712,27.52,95634.9712,27.52,2020/6/1,2020/10/15,2020/10/17
3848,300157,恒泰艾普,3.45,3.92,李丽萍,增持,712.12,1.000009469,1.01,10452.148,14.68,10452.148,14.78,2020/10/15,2020/10/15,2020/10/16
3849,2266,浙富控股,3.82,1.06,浙富控股专项私募证券投资基金,增持,2028.7759,0.377812475,1.24,2028.7759,0.38,2028.7759,1.24,2020/10/14,2020/10/15,2020/10/16
3850,600306,*ST商城,8.2,-2.96,王强,增持,83.7,0.469858024,0.47,1133.7,6.36,1133.7,6.39,2020/10/13,2020/10/14,2020/10/15
3851,600306,*ST商城,8.2,-2.96,深圳市旅游(集团)股份有限公司,增持,95.29,0.534919607,0.54,371.9795,2.09,371.9795,2.1,2020/10/13,2020/10/14,2020/10/15
3852,600055,万东医疗,22.53,-5.22,李国林,增持,11.2,0.020709439,0.02,,,,,2020/10/13,2020/10/13,2021/2/5
3853,600838,上海九百,6.53,3.16,国泰君安证券资管-上海九百(集团)有限公司-国君资管2747单一资产管理计划,增持,78.7,0.19631713,0.2,848.8913,2.12,848.8913,2.12,2020/10/1,2020/10/12,2020/10/13
3854,600642,申能股份,6.67,0.3,中国长江电力股份有限公司,增持,248.12,0.050512635,0.05,44898.0422,9.14,44898.0422,9.86,2020/10/9,2020/10/12,2021/2/10
3855,600306,*ST商城,8.2,-2.96,深圳市旅游(集团)股份有限公司,增持,128.4983,0.721337602,0.72,276.6895,1.55,276.6895,1.56,2020/9/30,2020/10/12,2020/10/13
3856,300509,新美星,6.35,4.27,胤狮17号私募证券投资基金,增持,32.45,0.109480432,0.19,511.51,1.73,511.51,3.07,2020/10/12,2020/10/12,2020/10/15
3857,300509,新美星,6.35,4.27,胤狮15号私募证券投资基金,增持,5.76,0.019433198,0.03,485.6427,1.64,485.6427,2.92,2020/10/12,2020/10/12,2020/10/15
3858,2331,皖通科技,6.99,5.59,西藏景源企业管理有限公司,增持,294.002,0.713471591,0.77,5230.8848,12.69,5230.8848,13.66,2020/10/1,2020/10/12,2021/1/23
3859,2221,东华能源,8.85,3.51,共青城胜帮凯米投资合伙企业(有限合伙),增持,4834.8,2.931918182,3.16,4834.8,2.93,4834.8,3.16,2020/10/12,2020/10/12,2020/11/11
3860,9,中国宝安,10.67,1.43,邓文平,增持,0.6,0.000232629,0,,,,,2020/10/12,2020/10/12,2021/3/3
3861,601366,利群股份,5.47,3.99,利群集团股份有限公司,增持,835.425,0.970859446,0.97,17112.9589,19.89,17112.9589,19.89,2020/10/9,2020/10/9,2020/10/10
3862,600306,*ST商城,8.2,-2.96,王强,增持,50,0.280679823,0.28,1050,5.89,1050,5.92,2020/10/9,2020/10/9,2020/10/13
3863,300061,旗天科技,7.51,9.16,朱平,增持,2,0.00295886,0,,,,,2020/10/9,2020/10/9,2021/3/2
3864,23,深天地A,8.68,1.64,深圳科杰斯投资有限公司,增持,138.76,1.000027098,1,832.5508,6,832.5508,6,2020/9/24,2020/10/9,2020/10/10
3865,603909,建发合诚,15.66,1.75,深圳市宝盈量化资产管理有限公司,增持,0.66,0.004607619,0,0.66,0,0.66,0,2020/9/1,2020/9/30,2021/10/26
3866,603909,建发合诚,15.66,1.75,北京天象道通资产管理有限公司,增持,638.3045,4.456157804,4.51,,,,,2020/9/1,2020/9/30,2020/11/6
3867,603690,至纯科技,41.85,1.06,平湖合波投资管理合伙企业(有限合伙),增持,0.21,0.000807543,0,111.3741,0.43,,,2020/9/30,2020/9/30,2020/10/9
3868,603386,骏亚科技,11.33,1.52,广东骏亚电子科技股份有限公司第一期员工持股计划,增持,108.5,0.482322957,0.51,707.78,3.15,707.78,3.35,2020/9/25,2020/9/30,2020/10/9
3869,601018,宁波港,3.79,0.53,招商局港口集团股份有限公司,增持,12188.4416,0.771058378,0.93,38226.9155,2.42,38226.9155,2.9,2020/9/1,2020/9/30,2021/1/5
3870,600838,上海九百,6.53,3.16,国泰君安证券资管-上海九百(集团)有限公司-国君资管2747单一资产管理计划,增持,360.2049,0.898531032,0.9,770.1913,1.92,770.1913,1.92,2020/9/9,2020/9/30,2020/10/13
3871,600673,东阳光,7.77,1.7,卢宇新配偶,增持,60.6717,0.020130646,0.02,60.6717,0.02,60.6717,0.02,2020/9/30,2020/9/30,2020/10/9
3872,600673,东阳光,7.77,1.7,邓新华配偶,增持,50.0316,0.0166003,0.02,50.0316,0.02,50.0316,0.02,2020/9/30,2020/9/30,2020/10/9
3873,600673,东阳光,7.77,1.7,朱英伟,增持,50,0.016589816,0.02,50,0.02,50,0.02,2020/9/30,2020/9/30,2020/10/9
3874,600642,申能股份,6.67,0.3,中国长江电力股份有限公司,增持,3271.3583,0.665987944,0.72,44649.9222,9.09,44649.9222,9.81,2020/9/1,2020/9/30,2021/2/10
3875,600319,亚星化学,5.22,2.35,潍坊亚星集团有限公司,增持,258.0832,0.817769666,0.82,2641.3629,8.37,2641.3629,8.37,2020/9/1,2020/9/30,2021/1/11
3876,600080,金花股份,7.51,-2.59,卫东,增持,0.3,0.000803707,0,,,,,2020/9/1,2020/9/30,2021/8/17
3877,600038,中直股份,42.52,1.21,国新投资有限公司,增持,67.1,0.113829772,0.11,67.1,0.11,67.1,0.11,2020/9/1,2020/9/30,2021/2/1
3878,300509,新美星,6.35,4.27,胤狮10号私募证券投资基金,增持,19.35,0.065283401,0.12,238.4011,0.8,238.4011,1.43,2020/9/30,2020/9/30,2020/10/15
3879,300509,新美星,6.35,4.27,胤狮17号私募证券投资基金,增持,102.42,0.345546559,0.61,597.48,2.02,597.48,3.59,2020/9/30,2020/9/30,2020/10/15
3880,300345,华民股份,9.08,6.45,关海果,增持,158.68,0.359577666,0.36,549.07,1.24,549.07,1.24,2020/9/1,2020/9/30,2021/6/9
3881,300345,华民股份,9.08,6.45,陈文妍,增持,79.11,0.17926764,0.18,199.12,0.45,199.12,0.45,2020/9/1,2020/9/30,2021/6/9
3882,2856,美芝股份,9.76,3.5,曾凡金,增持,0.03,0.000221709,0,,,,,2020/9/30,2020/9/30,2020/12/17
3883,2350,北京科锐,7.5,5.93,付小东,增持,1084.73,1.999985209,2.02,1084.73,2,1084.73,2.02,2020/9/30,2020/9/30,2020/10/9
3884,2331,皖通科技,6.99,5.59,西藏景源企业管理有限公司,增持,48,0.116484365,0.13,4936.8828,11.98,4936.8828,12.89,2020/9/29,2020/9/30,2021/1/23
3885,2278,神开股份,5.22,2.55,李清江,增持,20,0.054958697,0.06,20,0.05,20,0.06,2020/9/1,2020/9/30,2021/1/8
3886,955,欣龙控股,4.64,2.43,嘉兴天堂硅谷股权投资有限公司,增持,538.4,1.000009287,1,5514.481,10.24,5514.481,10.26,2020/9/30,2020/9/30,2020/10/9
3887,801,四川九洲,7.04,3.99,张秀琼,增持,0.4,0.000391081,0,,,,,2020/9/1,2020/9/30,2020/12/19
3888,801,四川九洲,7.04,3.99,罗莉娟,增持,0.19,0.000185763,0,,,,,2020/9/1,2020/9/30,2020/12/19
3889,801,四川九洲,7.04,3.99,谢双明,增持,0.05,4.89E-05,0,,,,,2020/9/1,2020/9/30,2020/12/19
3890,301,东方盛虹,12.67,-0.47,陕西省国际信托股份有限公司-陕国投·东方盛虹第一期2号员工持股集合资金信托计划,增持,1516.5717,0.313674127,1.2,1516.5717,0.31,1516.5717,1.2,,2020/9/30,2020/10/9
3891,301,东方盛虹,12.67,-0.47,陕西省国际信托股份有限公司-陕国投·东方盛虹第一期员工持股集合资金信托计划,增持,0.25,5.17E-05,0,6131.9029,1.27,6131.9029,4.86,2020/8/1,2020/9/30,2020/10/9
3892,603777,来伊份,16.49,0.55,迎水巡洋10号私募证券投资基金,增持,335,0.993675808,1,670,1.99,670,1.99,2020/9/29,2020/9/29,2020/9/30
3893,600173,卧龙地产,5.25,2.94,浙江龙盛集团股份有限公司,增持,779.4189,1.111679673,1.11,7790.6048,11.11,7790.6048,11.12,2020/7/18,2020/9/29,2020/9/30
3894,300535,达威股份,12.94,3.35,吴冬梅,增持,0.5,0.00480693,0.01,107.1723,1.03,107.1723,1.28,2020/8/3,2020/9/29,2020/10/29
3895,300157,恒泰艾普,3.45,3.92,李丽萍,增持,694.0948,0.974697203,0.98,9740.028,13.68,9740.028,13.78,2020/9/29,2020/9/29,2020/9/30
3896,2752,昇兴股份,4.83,0.84,昇兴集团股份有限公司第一期员工持股计划,增持,240,0.288052822,0.29,240,0.29,240,0.29,,2020/9/29,2020/9/30
3897,2664,信质集团,13.22,3.61,上海迎水投资管理有限公司-迎水龙凤呈祥24号私募证券投资基金,增持,1079.665,2.699027549,2.77,1079.665,2.7,1079.665,2.77,2020/9/29,2020/9/29,2020/9/30
3898,2550,千红制药,5.81,0.35,建信鑫享1号单一资产管理计划,增持,1400,1.093856822,1.54,,,,,2020/9/29,2020/9/29,2020/10/9
3899,2122,天马股份,4.22,-0.24,中投发展(深圳)投资咨询有限公司,增持,901.2918,0.758663131,0.76,2800.0022,2.36,2800.0022,2.36,2020/8/6,2020/9/29,2021/4/27
3900,600969,郴电国际,7.03,2.03,郴州市发展投资集团有限公司,增持,13.61,0.036778766,0.04,7320.0854,19.78,7320.0854,19.78,2020/9/28,2020/9/28,2021/1/30
3901,300565,科信技术,16.8,5.79,深圳市科信通信技术股份有限公司第一期员工持股计划,增持,13.3,0.063942308,0.09,70.048,0.34,70.048,0.46,2020/8/28,2020/9/28,2020/9/28
3902,300509,新美星,6.35,4.27,胤狮13号私募证券投资基金,增持,65.3576,0.220504723,0.39,,,,,2020/9/1,2020/9/28,2020/12/3
3903,300509,新美星,6.35,4.27,胤狮15号私募证券投资基金,增持,511.1452,1.724511471,3.07,529.5627,1.79,529.5627,3.18,2020/9/1,2020/9/28,2020/12/3
3904,300509,新美星,6.35,4.27,胤狮10号私募证券投资基金,增持,129.9811,0.438532726,0.78,,,,,2020/9/1,2020/9/28,2020/12/3
3905,300509,新美星,6.35,4.27,胤狮9号私募证券投资基金,增持,134.6,0.454116059,0.81,,,,,2020/9/1,2020/9/28,2020/12/3
3906,300509,新美星,6.35,4.27,胤狮17号私募证券投资基金,增持,321,1.082995951,1.93,542.03,1.83,542.03,3.25,2020/9/28,2020/9/28,2020/12/3
3907,300157,恒泰艾普,3.45,3.92,李丽萍,增持,712.12,1.000009469,1.01,9045.9332,12.7,9045.9332,12.79,2020/9/4,2020/9/28,2020/9/30
3908,300025,华星创业,11.12,10.98,瑞安市创享网络科技有限公司,增持,857.061,1.999999711,2.15,857.061,2,857.061,2.15,2020/9/28,2020/9/28,2020/9/29
3909,300509,新美星,6.35,4.27,胤狮17号私募证券投资基金,增持,221.03,0.74571525,1.33,221.03,0.75,221.03,1.33,2020/9/1,2020/9/27,2020/12/3
3910,603777,来伊份,16.49,0.55,迎水巡洋10号私募证券投资基金,增持,335,0.993675808,1,335,0.99,335,1,2020/9/25,2020/9/25,2020/9/30
3911,600721,百花医药,6.4,0.31,李建城,增持,3,0.007997135,0.01,1503,4.01,1503,4.21,2020/9/25,2020/9/25,2022/5/19
3912,600080,金花股份,7.51,-2.59,钟春华,增持,97.88,0.262222855,0.32,,,,,2020/9/24,2020/9/25,2021/8/17
3913,600080,金花股份,7.51,-2.59,杜玲,增持,95.55,0.25598073,0.31,615.15,1.65,615.15,2.01,2020/9/24,2020/9/25,2020/9/26
3914,600080,金花股份,7.51,-2.59,杨蓓,增持,94.14,0.252203306,0.31,592.6,1.59,592.6,1.94,2020/9/24,2020/9/25,2020/9/26
3915,600080,金花股份,7.51,-2.59,邢博越,增持,96.1,0.257454193,0.31,5253.3702,14.07,5253.3702,17.21,2020/9/24,2020/9/25,2020/9/26
3916,600068,葛洲坝,,,中国葛洲坝集团有限公司,增持,565.08,0.122716029,0.12,197249.1224,42.84,197249.1224,42.84,2020/9/25,2020/9/25,2020/10/28
3917,300667,必创科技,16.88,2.93,陈发树,增持,112.5,0.590306943,1.14,1599.7557,8.39,1599.7557,16.2,2020/9/25,2020/9/25,2020/9/25
3918,300014,亿纬锂能,65.55,-1.68,汇安基金廊坊1号资产管理计划,增持,0.06,3.26E-05,0,,,,,2020/9/25,2020/9/25,2020/11/2
3919,2803,吉宏股份,21.14,8.47,刘扬,增持,75.68,0.199995091,0.27,,,,,2020/9/25,2020/9/25,2020/12/15
3920,2803,吉宏股份,21.14,8.47,孙凤良,增持,105.77,0.279512167,0.38,,,,,2020/9/25,2020/9/25,2020/12/15
3921,2609,捷顺科技,11.13,4.51,深圳市捷顺科技实业股份有限公司第二期员工持股计划,增持,250,0.38777862,0.58,250,0.39,250,0.58,,2020/9/25,2020/9/26
3922,2605,姚记科技,34.5,6.61,泰润熹玥1号私募证券投资基金,增持,300,0.746886906,1.11,500,1.25,,,2020/9/25,2020/9/25,2020/9/26
3923,825,太钢不锈,4,1.52,太原钢铁(集团)有限公司,增持,806.84,0.141644119,0.14,360645.4334,63.31,360645.4334,63.31,2020/9/25,2020/9/25,2020/9/28
3924,518,四环生物,2.85,1.42,郁琴芬,增持,1963.0564,1.906701507,1.91,6698.8406,6.51,6698.8406,6.51,2020/9/25,2020/9/25,2020/9/29
3925,603386,骏亚科技,11.33,1.52,广东骏亚电子科技股份有限公司第一期员工持股计划,增持,599.28,2.664023057,2.84,599.28,2.66,599.28,2.84,,2020/9/24,2020/9/25
3926,603195,公牛集团,148.2,-2.37,公牛集团股份有限公司2020年特别人才持股计划,增持,26.13,0.043505494,0.44,32.2,0.05,32.2,0.54,2020/7/31,2020/9/24,2020/9/25
3927,600678,四川金顶,5.52,2.79,饶树清,增持,0.04,0.000114616,0,,,,,2020/9/24,2020/9/24,2020/12/25
3928,600678,四川金顶,5.52,2.79,王强,增持,0.1,0.000286541,0,,,,,2020/9/24,2020/9/24,2020/12/25
3929,600068,葛洲坝,,,中国葛洲坝集团有限公司,增持,634.45,0.137780818,0.14,196684.0424,42.71,196684.0424,42.71,2020/9/24,2020/9/24,2021/4/9
3930,300672,国科微,101.8,-1.96,华宝信托-湖南国科微电子股份有限公司2020年员工持股集合资金信托计划,增持,52.2433,0.289729277,0.3,196.0992,1.09,196.0992,1.14,2020/9/16,2020/9/24,2020/9/25
3931,2856,美芝股份,9.76,3.5,张素冰,增持,0.06,0.000443417,0,,,,,2020/9/24,2020/9/24,2020/12/17
3932,2605,姚记科技,34.5,6.61,泰润熹玥1号私募证券投资基金,增持,200,0.497924604,0.74,200,0.5,,,2020/9/24,2020/9/24,2020/9/26
3933,2331,皖通科技,6.99,5.59,西藏景源企业管理有限公司,增持,62.49,0.151648083,0.16,4888.8828,11.86,4888.8828,12.76,2020/9/24,2020/9/24,2021/1/23
3934,2098,浔兴股份,5.86,2.63,福建浔兴集团有限公司,增持,139.6,0.389944134,0.39,3716.1075,10.38,3716.1075,10.38,2020/9/11,2020/9/24,2020/11/25
3935,600678,四川金顶,5.52,2.79,饶树清,增持,0.1,0.000286541,0,,,,,2020/9/23,2020/9/23,2020/12/25
3936,600068,葛洲坝,,,中国葛洲坝集团有限公司,增持,375.93,0.081639125,0.08,196049.5924,42.58,196049.5924,42.58,2020/9/23,2020/9/23,2021/4/9
3937,600039,四川路桥,15.85,0.76,四川省铁路产业投资集团有限责任公司,增持,1101.0564,0.297155107,0.3,211637.9513,57.12,211637.9513,58.62,2020/9/11,2020/9/23,2020/9/25
3938,300093,金刚光伏,31.75,-1.03,广东欧昊集团有限公司,增持,218.31,1.010694444,1.14,,,,,2020/8/24,2020/9/23,2021/2/24
3939,2820,桂发祥,9.92,2.16,悟空蓝海源饶9号私募证券投资基金,增持,373.49,1.823681641,1.84,403.7,1.97,403.7,1.99,2020/9/23,2020/9/23,2020/11/7
3940,2300,太阳电缆,8.5,1.07,兴证资管阿尔法科睿68号单一资产管理计划,增持,1090,1.659897635,1.66,,,,,2020/9/23,2020/9/23,2020/9/25
3941,603615,茶花股份,7.91,2.73,陈苏敏,增持,340,1.39030873,1.41,340,1.39,340,1.41,2020/9/21,2020/9/22,2020/9/23
3942,600068,葛洲坝,,,中国葛洲坝集团有限公司,增持,99.88,0.021690516,0.02,195673.6624,42.49,195673.6624,42.49,2020/9/22,2020/9/22,2021/4/9
3943,300004,南风股份,5.4,2.08,孙振平,增持,124.62,0.259628463,0.3,,,,,2019/9/18,2020/9/22,2022/1/5
3944,2856,美芝股份,9.76,3.5,张素冰,增持,0.21,0.00155196,0,,,,,2020/9/22,2020/9/22,2020/12/17
3945,2489,浙江永强,3.95,3.13,浙江永强集团股份有限公司2019-2024年员工持股计划第二期,增持,110.14,0.050621939,0.06,110.14,0.05,110.14,0.06,,2020/9/22,2020/9/23
3946,656,金科股份,1.38,1.47,宏源期货金科股份员工持股2号单一资产管理计划,增持,2579.5395,0.48308554,0.49,3730.64,0.7,,,2020/7/18,2020/9/22,2020/9/25
3947,402,金融街,5.04,1,长城人寿保险股份有限公司,增持,500,0.16728395,0.17,16836.196,5.63,16836.196,5.64,2020/9/21,2020/9/22,2021/6/5
3948,603337,杰克股份,19.14,-1.69,LAKE VILLAGE LIMITED,增持,76.91,0.173030457,0.17,8519.5151,19.17,8519.5151,19.17,2020/9/1,2020/9/21,2020/10/28
3949,603327,福蓉科技,14.82,2.77,福建省国企改革重组投资基金(有限合伙),增持,0.3,0.00074813,0,1354,3.38,1354,13.21,2020/6/22,2020/9/21,2020/9/22
3950,600557,康缘药业,29.5,-2.12,银叶攻玉10号私募证券投资基金,增持,580,0.978273824,0.98,580,0.98,580,0.98,2020/9/21,2020/9/21,2020/9/22
3951,600557,康缘药业,29.5,-2.12,银叶攻玉11号私募证券投资基金,增持,580,0.978273824,0.98,580,0.98,580,0.98,2020/9/21,2020/9/21,2020/9/22
3952,300730,科创信息,13.03,3.17,湖南财信金融科技服务有限公司,增持,797.07,5.000025155,9.45,797.07,5,797.07,9.45,2020/9/1,2020/9/21,2020/9/22
3953,603988,中电电机,9.55,2.69,宁波君拓企业管理有限公司,增持,470.4,2,2,5520.2,23.47,5520.2,23.47,2020/9/18,2020/9/18,2020/9/19
3954,601599,浙文影业,3.67,3.97,陈瀚海,增持,2,0.002240332,0,5775.2378,6.47,5775.2378,6.47,2020/9/18,2020/9/18,2020/9/22
3955,600336,澳柯玛,5.92,2.42,邹建莉,增持,0.05,6.26E-05,0,,,,,2020/9/18,2020/9/18,2020/11/6
3956,825,太钢不锈,4,1.52,太原钢铁(集团)有限公司,增持,528.71,0.09281724,0.09,359838.5934,63.17,359838.5934,63.17,2020/9/18,2020/9/18,2020/9/28
3957,23,深天地A,8.68,1.64,深圳科杰斯投资有限公司,增持,368.3501,2.654656108,2.65,693.7908,5,693.7908,5,2020/8/23,2020/9/18,2021/2/23
3958,600068,葛洲坝,,,中国葛洲坝集团有限公司,增持,174.31,0.037854164,0.04,195573.7824,42.47,195573.7824,42.47,2020/9/17,2020/9/17,2021/4/9
3959,300379,东方通,25.74,2.96,李宁,增持,8,0.028431737,0.03,277.7347,0.99,,,2020/9/17,2020/9/17,2020/9/18
3960,300379,东方通,25.74,2.96,陈忠国,增持,11,0.039093638,0.04,31.14,0.11,,,2020/9/17,2020/9/17,2020/9/18
3961,2856,美芝股份,9.76,3.5,张素冰,增持,0.28,0.002069279,0,,,,,2020/9/17,2020/9/17,2020/12/17
3962,2856,美芝股份,9.76,3.5,曾凡金,增持,0.18,0.001330251,0,,,,,2020/9/17,2020/9/17,2020/12/17
3963,2803,吉宏股份,21.14,8.47,孙凤良,增持,75.8,0.200312208,0.27,,,,,2020/9/17,2020/9/17,2020/12/15
3964,825,太钢不锈,4,1.52,太原钢铁(集团)有限公司,增持,538.31,0.09450256,0.09,359309.8834,63.08,359309.8834,63.08,2020/9/17,2020/9/17,2020/9/28
3965,600969,郴电国际,7.03,2.03,郴州市发展投资集团有限公司,增持,23.592,0.063753463,0.06,7306.4754,19.74,7306.4754,19.74,2020/9/16,2020/9/16,2021/1/30
3966,600548,深高速,9.22,0.33,招商局公路网络科技控股股份有限公司,增持,217.7212,0.099836832,0.1,8938.8535,4.1,8938.8535,4.1,2020/9/1,2020/9/16,2020/9/18
3967,600080,金花股份,7.51,-2.59,钟春华,增持,94.35,0.252765901,0.31,291.2695,0.78,291.2695,0.95,2020/9/14,2020/9/16,2020/9/18
3968,600080,金花股份,7.51,-2.59,邢博越,增持,115.4999,0.309426988,0.38,5157.27,13.82,5157.27,16.89,2020/9/14,2020/9/16,2020/9/18
3969,600080,金花股份,7.51,-2.59,杨蓓,增持,89.79,0.240549552,0.29,498.46,1.34,498.46,1.63,2020/9/14,2020/9/16,2020/9/18
3970,600080,金花股份,7.51,-2.59,杜玲,增持,98.35,0.263481997,0.32,519.6,1.39,519.6,1.7,2020/9/14,2020/9/16,2020/9/18
3971,300207,欣旺达,16.82,0.72,陕国投·欣旺达第2期员工持股集合资金信托计划,增持,279,0.177804931,0.2,1612.42,1.03,1612.42,1.16,2020/9/12,2020/9/16,2020/9/16
3972,825,太钢不锈,4,1.52,太原钢铁(集团)有限公司,增持,280.06,0.049165698,0.05,358771.5734,62.98,358771.5734,62.98,2020/9/16,2020/9/16,2020/9/28
3973,601598,中国外运,4.57,3.16,中国外运长航集团有限公司,增持,530,0.071613842,0.15,247221.62,33.4,1062,0.3,2020/6/20,2020/9/15,2020/9/17
3974,600969,郴电国际,7.03,2.03,郴州市发展投资集团有限公司,增持,9.43,0.02548301,0.03,7282.8834,19.68,7282.8834,19.68,2020/9/15,2020/9/15,2021/1/30
3975,300672,国科微,101.8,-1.96,华宝信托-湖南国科微电子股份有限公司2020年员工持股集合资金信托计划,增持,19.8738,0.110215505,0.12,143.8559,0.8,143.8559,0.83,2020/7/16,2020/9/15,2020/9/16
3976,2856,美芝股份,9.76,3.5,张素冰,增持,0.08,0.000591223,0,,,,,2020/9/15,2020/9/15,2020/12/17
3977,2563,森马服饰,6.72,9.98,中信证券-森马服饰员工持股2号单一资产管理计划,增持,1385.4163,0.513395504,0.73,1385.4163,0.51,1385.4163,0.73,,2020/9/15,2020/9/17
3978,603568,伟明环保,18.28,0.94,朱蓓蕾,增持,300,0.23874737,0.24,300,0.24,300,0.24,2020/9/11,2020/9/14,2020/9/16
3979,300763,锦浪科技,113.8,-4.87,宁波高新区华桐恒德创业投资合伙企业(有限合伙),增持,0.2,0.001447004,0,443.7694,3.21,443.7694,8.06,2020/9/14,2020/9/14,2020/9/15
3980,2856,美芝股份,9.76,3.5,张素冰,增持,0.25,0.001847571,0,,,,,2020/9/14,2020/9/14,2020/12/17
3981,2856,美芝股份,9.76,3.5,曾凡金,增持,0.3,0.002217085,0,,,,,2020/9/14,2020/9/14,2020/12/17
3982,603160,汇顶科技,51.9,2.39,宝崇管理有限公司,增持,56,0.122559086,0.12,56,0.12,56,0.12,,2020/9/11,2020/9/15
3983,601900,南方传媒,18.46,10.01,广东省出版集团有限公司,增持,79.5938,0.088844605,0.09,48755.5038,54.42,48755.5038,54.82,2020/9/11,2020/9/11,2020/9/12
3984,600678,四川金顶,5.52,2.79,饶树清,增持,0.36,0.001031548,0,,,,,2020/9/11,2020/9/11,2020/12/25
3985,600080,金花股份,7.51,-2.59,杨蓓,增持,98.86,0.264848299,0.32,408.67,1.09,408.67,1.34,2020/9/10,2020/9/11,2020/9/12
3986,600080,金花股份,7.51,-2.59,邢博越,增持,96,0.257186291,0.31,5041.7701,13.51,5041.7701,16.51,2020/9/10,2020/9/11,2020/9/12
3987,600080,金花股份,7.51,-2.59,钟春华,增持,99.93,0.267714854,0.33,196.9195,0.53,196.9195,0.65,2020/9/10,2020/9/11,2020/9/12
3988,600080,金花股份,7.51,-2.59,杜玲,增持,98.9,0.26495546,0.32,421.25,1.13,421.25,1.38,2020/9/10,2020/9/11,2020/9/12
3989,300207,欣旺达,16.82,0.72,陕国投·欣旺达第2期员工持股集合资金信托计划,增持,1333.42,0.849780114,0.96,,,,,,2020/9/11,2020/9/11
3990,2490,山东墨龙,4.13,2.99,胡淑贞,增持,1.93,0.002419006,0,,,,,2020/9/11,2020/9/11,2020/9/29
3991,600969,郴电国际,7.03,2.03,郴州市发展投资集团有限公司,增持,61.6011,0.166466746,0.17,7273.4534,19.66,7273.4534,19.66,2020/9/10,2020/9/10,2021/1/30
3992,600170,上海建工,2.85,0,上海建工集团股份有限公司核心员工持股计划,增持,331.9456,0.037278838,0.04,331.9456,0.04,331.9456,0.04,,2020/9/10,2020/9/11
3993,600039,四川路桥,15.85,0.76,四川省铁路产业投资集团有限责任公司,增持,3700.3374,0.9986538,1.07,210536.8949,56.82,195191.6264,56.46,2020/8/8,2020/9/10,2020/9/12
3994,300703,创源股份,9.24,2.9,宁波市北仑合力管理咨询有限公司,增持,19.97,0.109189646,0.2,5644.95,30.86,42.45,0.41,2020/9/10,2020/9/10,2020/9/11
3995,300569,天能重工,8.19,0.24,万利群,增持,0.01,2.55E-05,0,0,,0,,2020/9/8,2020/9/10,2020/11/11
3996,300300,海峡创新,4.42,7.54,平潭创新股权投资合伙企业(有限合伙),增持,120,0.178731832,0.18,10319.1874,15.37,10319.1874,15.37,2020/9/10,2020/9/10,2020/9/17
3997,2331,皖通科技,6.99,5.59,西藏景源企业管理有限公司,增持,464.8099,1.127980962,1.21,4826.3928,11.71,4826.3928,12.6,2020/9/10,2020/9/10,2021/1/23
3998,520,长航凤凰,3.23,0.94,王韶华,增持,1.39,0.001373405,0,,,,,2020/9/10,2020/9/10,2021/2/27
3999,688333,铂力特,132,-2.75,"朱雀基金管理有限公司管理的私募资产管理计划,平安信托有限责任公司",增持,3.94,0.04925,0.09,400,5,400,9.01,2020/9/9,2020/9/9,2020/9/12
4000,600887,伊利股份,29.56,6.33,内蒙古伊利实业集团股份有限公司第七期员工持股计划,增持,191.24,0.03143734,0.03,191.24,0.03,191.24,0.03,2020/9/9,2020/9/9,2020/9/11
4001,600886,国投电力,11.79,-0.08,中国长江电力股份有限公司,增持,1392.84,0.205251283,0.21,,,,,2020/9/9,2020/9/9,2020/10/20
4002,600080,金花股份,7.51,-2.59,杨蓓,增持,117.37,0.314437031,0.38,309.81,0.83,309.81,1.01,2020/9/7,2020/9/9,2020/9/10
4003,600080,金花股份,7.51,-2.59,钟春华,增持,96.9295,0.259676443,0.32,96.9895,0.26,96.9895,0.32,2020/9/7,2020/9/9,2020/9/10
4004,600080,金花股份,7.51,-2.59,杜玲,增持,136.04,0.364454406,0.45,322.35,0.86,322.35,1.06,2020/9/7,2020/9/9,2020/9/10
4005,600080,金花股份,7.51,-2.59,邢博越,增持,99.7701,0.267286478,0.33,4945.7701,13.25,4945.7701,16.2,2020/9/7,2020/9/9,2020/9/10
4006,2530,金财互联,8.04,4.82,朱建立,增持,1,0.001283371,0,,,,,2020/9/9,2020/9/9,2021/2/10
4007,488,晨鸣纸业,5.03,1,晨鸣控股有限公司,增持,1192.6791,0.399663502,0.41,45732.2919,15.32,45732.2919,15.8,2019/9/7,2020/9/9,2020/9/10
4008,603568,伟明环保,18.28,0.94,项淑丹,增持,0.03,2.39E-05,0,300.03,0.24,300.03,0.24,2020/9/8,2020/9/8,2020/9/16
